#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_akan;Akan;Akan;Akan;;Akan;;;;;;;;;x
d_akan_adj;Akanian;;akaner;;;;;;;;;;;x
d_aomori;Aomori;Aomori;Aomori;;Aomori;;;;;;;;;x
d_aomori_adj;Aomorian;;aomorer;;;;;;;;;;;x
d_dewa;Dewa;Dewa;Dewa;;Dewa;;;;;;;;;x
d_dewa_adj;Dewan;;dewer;;;;;;;;;;;x
d_fukushima;Fukushima;Fukushima;Fukushima;;Fukushima;;;;;;;;;x
d_fukushima_adj;Fukushiman;;fukushimer;;;;;;;;;;;x
d_gunma;Gunma;Gunma;Gunma;;Gunma;;;;;;;;;x
d_gunma_adj;Gunman;;gunmer;;;;;;;;;;;x
d_mashike;Mashike;Mashike;Mashike;;Mashike;;;;;;;;;x
d_mashike_adj;Mashikean;;mashiker;;;;;;;;;;;x
d_oshima;Oshima;Oshima;Oshima;;Oshima;;;;;;;;;x
d_oshima_adj;Oshiman;;oshimer;;;;;;;;;;;x
d_oshu;Oshu;Oshu;Oshu;;Oshu;;;;;;;;;x
d_oshu_adj;Oshian;;osher;;;;;;;;;;;x
d_shiretoko;Shiretoko;Shiretoko;Shiretoko;;Shiretoko;;;;;;;;;x
d_shiretoko_adj;Shiretokian;;shiretoker;;;;;;;;;;;x
d_tomuraushi;Tomuraushi;Tomuraushi;Tomuraushi;;Tomuraushi;;;;;;;;;x
d_tomuraushi_adj;Tomuraushian;;tomurausher;;;;;;;;;;;x
