###########Special and Religious Title###########
temple_barony_of_atomicist;Hwangsong;;;;;;;;;;;;;x
temple_county_of_atomicist;Hwangsong;;;;;;;;;;;;;x
temple_duchy_of_atomicist;Hwangsong;;;;;;;;;;;;;x
temple_kingdom_of_atomicist;Hwangsong;;;;;;;;;;;;;x
temple_empire_of_atomicist;Hwangsong;;;;;;;;;;;;;x

temple_baron_muist;Baksu;;;;;;;;;;;;;x
temple_baron_female_muist;Mudang;;;;;;;;;;;;;x
temple_count_muist;Baksu;;;;;;;;;;;;;x
temple_count_female_muist;Mudang;;;;;;;;;;;;;x
temple_duke_muist;Baksu;;;;;;;;;;;;;x
temple_duke_female_muist;Mudang;;;;;;;;;;;;;x
temple_king_muist;Baksu;;;;;;;;;;;;;x
temple_king_female_muist;Mudang;;;;;;;;;;;;;x
temple_emperor_muist;Baksu;;;;;;;;;;;;;x
temple_emperor_female_muist;Mudang;;;;;;;;;;;;;x

###########Secular (Feudal) Title###########
emperor_chosunin;Choegoryongdoja;;;;;;;;;;;;;x
emperor_female_chosunin;Choegoryongdoja;;;;;;;;;;;;;x
king_chosunin;Wonsu;;;;;;;;;;;;;x
king_female_chosunin;Wonsuyeo;;;;;;;;;;;;;x
duke_chosunin;Sangjwa;;;;;;;;;;;;;x
duke_female_chosunin;Sangjwayeo;;;;;;;;;;;;;x
count_chosunin;Sojwa;;;;;;;;;;;;;x
count_female_chosunin;Sojwayeo;;;;;;;;;;;;;x
baron_chosunin;Pyongsa;;;;;;;;;;;;;x
baron_female_chosunin;Pyongsayeo;;;;;;;;;;;;;x

emperor_hangugin;Taewang;;;;;;;;;;;;;x
emperor_female_hangugin;Taewangyeo;;;;;;;;;;;;;x
king_hangugin;Wang;;;;;;;;;;;;;x
king_female_hangugin;Wangyeo;;;;;;;;;;;;;x
duke_hangugin;Gukgong;;;;;;;;;;;;;x
duke_female_hangugin;Gukgongyeo;;;;;;;;;;;;;x
count_hangugin;Hyeonbaek;;;;;;;;;;;;;x
count_female_hangugin;Hyeonbaekyeo;;;;;;;;;;;;;x
baron_hangugin;Hyeonnam;;;;;;;;;;;;;x
baron_female_hangugin;Hyeonnamyeo;;;;;;;;;;;;;x

bureaucracy_emperor_chosunin;Choegoryongdoja;;;;;;;;;;;;;x
bureaucracy_emperor_female_chosunin;Choegoryongdoja;;;;;;;;;;;;;x
bureaucracy_king_chosunin;Wonsu;;;;;;;;;;;;;x
bureaucracy_king_female_chosunin;Wonsuyeo;;;;;;;;;;;;;x
bureaucracy_duke_chosunin;Sangjwa;;;;;;;;;;;;;x
bureaucracy_duke_female_chosunin;Sangjwayeo;;;;;;;;;;;;;x
bureaucracy_count_chosunin;Sojwa;;;;;;;;;;;;;x
bureaucracy_count_female_chosunin;Sojwayeo;;;;;;;;;;;;;x
bureaucracy_baron_chosunin;Pyongsa;;;;;;;;;;;;;x
bureaucracy_baron_female_chosunin;Pyongsayeo;;;;;;;;;;;;;x

bureaucracy_emperor_hangugin;Taewang;;;;;;;;;;;;;x
bureaucracy_emperor_female_hangugin;Taewangyeo;;;;;;;;;;;;;x
bureaucracy_king_hangugin;Wang;;;;;;;;;;;;;x
bureaucracy_king_female_hangugin;Wangyeo;;;;;;;;;;;;;x
bureaucracy_duke_hangugin;Gukgong;;;;;;;;;;;;;x
bureaucracy_duke_female_hangugin;Gukgongyeo;;;;;;;;;;;;;x
bureaucracy_count_hangugin;Hyeonbaek;;;;;;;;;;;;;x
bureaucracy_count_female_hangugin;Hyeonbaekyeo;;;;;;;;;;;;;x
bureaucracy_baron_hangugin;Hyeonnam;;;;;;;;;;;;;x
bureaucracy_baron_female_hangugin;Hyeonnamyeo;;;;;;;;;;;;;x

#Unique China Titles
PROTECTORATE_GENERAL_MALE;Protector General;Général-Protecteur;Generalprotektor;;Protector general;;;;;;;;;x
PROTECTORATE_GENERAL_FEMALE;Protector General;Générale-Protectrice;Generalprotektorin;;Protectora general;;;;;;;;;x
PROTECTORATE_GENERAL_TITLE_FOA;Your Illustriousness;Votre Illustre Grandeur;Eure Erhabenheit;;Su Ilustrísima;;;;;;;;;x
PREFECT;Prefect;;;;;;;;;;;;;x

###########Secular (Republic) Title###########

###########Viceroy Title############
