###########Titular Titles###########
k_tenno;Tenno;;;;;;;;;;;;;x
k_tenno_adj;Tenno-ki;;;;;;;;;;;;;x
k_soka_gakkai;Soka Gakki;;;;;;;;;;;;;x
k_soka_gakkai_adj;Sokagakin;;;;;;;;;;;;;x
d_shinko;Kaminchu;;;;;;;;;;;;;x
d_shinko_adj;Nuuru;;;;;;;;;;;;;x
e_commonwealth;The Commonwealth of the Philipines;;;;;;;;;;;;;x
e_commonwealth_adj;Filipino;;;;;;;;;;;;;x
e_hawaii;Royal Hawaiian Commonwealth;;;;;;;;;;;;;x
e_hawaii_adj;Hawaiian;;;;;;;;;;;;;x
k_andong_protectorate;Andong Protectorate;;;;;;;;;;;;;x
k_andong_protectorate_adj;Andong;;;;;;;;;;;;;x
e_chakrphup_khmer;Chakrphup Khmer;;;;;;;;;;;;;x
e_chakrphup_khmer_adj;Khmer;;;;;;;;;;;;;x
e_china;China;;;;;;;;;;;x
e_china_adj;Chinese;;Chinese;;;;;;;;;;;x
e_hong;Hong;;;;;;;;;;;x
e_hong_adj;Hong;;;;;;;;;;;;;x
k_ice_city;Bingcheng;;;;;;;;;;;x
k_ice_city_adj;Bingxuehua;;;;;;;;;;;;;x
e_lan_xang;Lan Xang;;;;;;;;;;;;;x
e_lan_xang_adj;Laotian;;;;;;;;;;;;;x
d_cebu;Cebu;;;;;;;;;;;;;x
d_cebu_adj;Cebuano;;;;;;;;;;;;;x
d_pattaya;Pattaya;;;;;;;;;;;;;x
d_pattaya_adj;Pattayan;;;;;;;;;;;;;x
d_songkhla;Songkhla;;;;;;;;;;;;;x
d_songkhla_adj;Songkhlan;;;;;;;;;;;;;x
k_hariphunchai;Hariphunchai;;;;;;;;;;;;;x
k_hariphunchai_adj;Hariphunchai;;;;;;;;;;;;;x
d_phitsanulok;Phitsanulok;;;;;;;;;;;;;x
d_phitsanulok_adj;Phitsanulok;;;;;;;;;;;;;x
k_maguindanao;Maguindanao;;;;;;;;;;;;;x
k_maguindanao_adj;Maguindanaon;;;;;;;;;;;;;x
k_sulu;Sulu;;;;;;;;;;;;;x
k_sulu_adj;Sulu;;;;;;;;;;;;;x
d_nusantara;Nahdlatul;;;;;;;;;;;;;x
d_nusantara_adj;Nusantaran;;;;;;;;;;;;;x
d_red_fleet;The Red Fleet;;;;;;;;;;;;;x
d_red_fleet_adj;Pirates;;;;;;;;;;;;;x
k_white_scar;Jaghatai Khanate;;;;;;;;;;;;;x
k_white_scar_adj;Jaghataian;;;;;;;;;;;;;x
e_yanbian;Yanbia;;;;;;;;;;;;;x
e_yanbian_adj;Yanbian;;;;;;;;;;;;;x
e_beidahuang;Beidahuang;;;;;;;;;;;;;x
e_beidahuang_adj;Beidahuangian;;;;;;;;;;;;;x
d_eastern_depot;Dongchang;;;;;;;;;;;;;x
d_eastern_depot_adj;Hongmen;;;;;;;;;;;;;x

#Catholic Autonmous Primates
d_nagasaki_archbishopric;Nagasaki;Nagasaki;Nagasaki;Nagasaki;;;;;;;;;;;;;x
d_nagasaki_archbishopric_adj;Nagasakian;;nagasaker;;;;;;;;;;;;;x
d_macau_archbishopric;Macau;Macau;Macau;Macau;;;;;;;;;;;;;x
d_macau_archbishopric_adj;Macanese;;macaner;;;;;;;;;;;;;x
d_hue_archbishopric;Huê;Huê;Huê;Huê;;;;;;;;;;;;;x
d_hue_archbishopric_adj;Huêian;;hueer;;;;;;;;;;;;;x
d_dili_archbishopric;Dili;Dili;Dili;Dili;;;;;;;;;;;;;x
d_dili_archbishopric_adj;Dilian;;diler;;;;;;;;;;;;;x
k_conferentia;The Conferentia de Catolica de Asia;The Conferentia de Catolica de Asia;The Conferentia de Catolica de Asia;The Conferentia de Catolica de Asia;;;;;;;;;;;;;x
k_conferentia_adj;Conferentian;conferenter;;;;;;;;;;;;;x
d_ruist_yansheng;Yansheng Gong;Yansheng Gong;Yansheng Gong;Yansheng Gong;;;;;;;;;;;x
d_ruist_yansheng_adj;Ruist;;;;;;;;;;;x

e_tian;Tian;;;;;;;;;;;;;x
e_tian_adj;Tian;;;;;;;;;;;;;x

#Concordanist Autonomous Councils
d_concordanist_singapore;Singapore;;;;;;;;;;;;;x
d_concordanist_port_moresby;Port Moresby;;;;;;;;;;;;;x
d_concordanist_taipei;Taipei;;;;;;;;;;;;;x
d_concordanist_seoul;Seoul;;;;;;;;;;;;;x
d_concordanist_hong_kong;Hong Kong;;;;;;;;;;;;;x

k_vissarionite;the Last Testament;;;;;;;;;;;;;x
k_vissarionite_adj;Vissarionite;;;;;;;;;;;;;x

d_old_believer;Belokrinitskaya Hierarchy;;;;;;;;;;;;;x
d_old_believer_adj;Belokrinitskayan;;;;;;;;;;;;;x

d_quinto;Asia Fleet;;;;;;;;;;;;;x
d_quinto_adj;Quinto Império;;;;;;;;;;;;;x

d_nousthreskeia;Great Immortal Science;Great Immortal Science;Great Immortal Science;;Great Immortal Science;;;;;;;;;x
d_nousthreskeia_adj;Nostreskeyan;Nostreskeyan;Nostreskeyan;;Nostreskeyan;;;;;;;;;x

d_baptist;Baptist Church Council;;;;;;;;;;;x
d_baptist_adj;Baptist;;;;;;;;;;;x

k_kohhran_thianghlim;Kohhran Thianghlim;;;;;;;;;;;x
k_kohhran_thianghlim_adj;Kohhran Thianghlim;;;;;;;;;;;x

k_tenrikyo;Tenrikyo Kyokai Honbu;;;;;;;;;;;x
k_tenrikyo_adj;Tenrikyo;;;;;;;;;;;x

k_taoist;Zhengyi Sect;;;;;;;;;;;x
k_taoist_adj;Taoist;;;;;;;;;;;x

k_unificationist;Unification Church;;;;;;;;;;;x
k_unificationist_adj;Unificationist;;;;;;;;;;;x

k_restorationist;Iglesia ni Cristo;;;;;;;;;;;x
k_restorationist_adj;Restorationist;;;;;;;;;;;x

d_rizalista;Iglesia ni Rizal;;;;;;;;;;;x
d_rizalista;Rizalista;;;;;;;;;;;x

#Invader titles
k_ozzies;Australian Commonwealth;;;;;;;;;;;x
k_ozzies_adj;Australian;;;;;;;;;;;x

k_aboriginals;Dreamtime Confederation;;;;;;;;;;;x
k_aboriginals_adj;Dreamtimer;;;;;;;;;;;x

k_hagothland;Hagothland;;;;;;;;;;;x
k_hagothland_adj;Hagothlander;;;;;;;;;;;x

e_red_horde;Red Horde;;;;;;;;;;;x
e_red_horde_adj;Red Horde;;;;;;;;;;;x

d_kan_imam_san;Cham Imamate;;;;;;;;;;;x
d_kan_imam_san_adj;Cham Imamate;;;;;;;;;;;x

###########Patrician Titles###########
b_to_van;To Van;;;;;;;;;;;;;x
b_to_van_desc;To Van;;;;;;;;;;;;;x
b_quat;Quat;;;;;;;;;;;;;x
b_quat_desc;Quat;;;;;;;;;;;;;x
b_mai_kieu;Mai Kieu;;;;;;;;;;;;;x
b_mai_kieu_desc;Mai Kieu;;;;;;;;;;;;;x
b_dang_le;Ðang Lê;;;;;;;;;;;;;x
b_dang_le_desc;Ðang Lê;;;;;;;;;;;;;x
b_phan;Phan;;;;;;;;;;;;;x
b_phan_desc;Phan;;;;;;;;;;;;;x
b_ongpin;Ongpin;;;;;;;;;;;;;x
b_ongpin_desc;Ongpin;;;;;;;;;;;;;x
b_tantoco;Tantoco;;;;;;;;;;;;;x
b_tantoco_desc;Tantoco;;;;;;;;;;;;;x
b_ramos;Ramos;;;;;;;;;;;;;x
b_ramos_desc;Ramos;;;;;;;;;;;;;x
b_lopez;Lopez;;;;;;;;;;;;;x
b_lopez_desc;Lopez;;;;;;;;;;;;;x
b_araneta;Araneta;;;;;;;;;;;;;x
b_araneta_desc;Araneta;;;;;;;;;;;;;x
b_torpedovich;Torpedovich;;;;;;;;;;;;;x
b_torpedovich_desc;Torpedovich;;;;;;;;;;;;;x
b_phikulavong;Phikulavong;;;;;;;;;;;;;x
b_phikulavong_desc;Phikulavong;;;;;;;;;;;;;x
b_kenway;Kenway;;;;;;;;;;;;;x
b_kenway_desc;Kenway;;;;;;;;;;;;;x
b_albo;Albo;;;;;;;;;;;;;x
b_albo_desc;Albonite;;;;;;;;;;;;;x
b_wangrong;Wang-Rong;;;;;;;;;;;;;x
b_albo_desc;Wangronger;;;;;;;;;;;;;x
b_kappel;Kappel;;;;;;;;;;;;;x
b_kappel_desc;Kappel;;;;;;;;;;;;;x
b_levko;Levko;;;;;;;;;;;;;x
b_levko_desc;Levko;;;;;;;;;;;;;x
b_smirnov;Smirnov;;;;;;;;;;;;;x
b_smirnov_desc;Smirnov;;;;;;;;;;;;;x
b_porotov;Porotov;;;;;;;;;;;;;x
b_porotov_desc;Porotov;;;;;;;;;;;;;x
b_ishchenko;Ishcenko;;;;;;;;;;;;;x
b_ishchenko_desc;Ishcenko;;;;;;;;;;;;;x
b_galetsky;Galetsky;;;;;;;;;;;;;x
b_galetsky_desc;Galetsky;;;;;;;;;;;;;x
b_davidovich;Davidovich;;;;;;;;;;;;;x
b_davidovich_desc;Davidovich;;;;;;;;;;;;;x
b_mechik;Mechik;;;;;;;;;;;;;x
b_mechik_desc;Mechik;;;;;;;;;;;;;x
b_yankovsky;Yankovsky;;;;;;;;;;;;;x
b_yankovsky_desc;Yankovsky;;;;;;;;;;;;;x
b_reznichenko;Reznichenko;;;;;;;;;;;;;x
b_reznichenko_desc;Reznichenko;;;;;;;;;;;;;x
b_sjah;Sjah;;;;;;;;;;;;;x
b_sjah_desc;Sjah;;;;;;;;;;;;;x
b_kriekhoff;Kriekhoff;;;;;;;;;;;;;x
b_kriekhoff_desc;Kriekhoff;;;;;;;;;;;;;x
b_usman;Usman;;;;;;;;;;;;;x
b_usman_desc;Usman;;;;;;;;;;;;;x
b_akbar;Akbar;;;;;;;;;;;;;x
b_akbar_desc;Akbar;;;;;;;;;;;;;x
b_mochtar;Mochtar;;;;;;;;;;;;;x
b_mochtar_desc;Mochtar;;;;;;;;;;;;;x
