##CUSTOMIZABLE LOCALIZATION##
String_the_Angel_of_death;the Angel of Death;;;;;;;;;;;;;x
String_Babylon;Babylon;;;;;;;;;;;;;x
String_Unk_Cekula;Unk Cekula;;;;;;;;;;;;;x
String_Hela;Hela;;;;;;;;;;;;;x
String_Benedict_Arnold;Benedict Arnold;;;;;;;;;;;;;x
String_Marx;Marx;;;;;;;;;;;;;x
String_Xolotl;Xolotl;;;;;;;;;;;;;x
String_Moloch;Moloch;;;;;;;;;;;;;x
String_Davy_Jones;Davy Jones;;;;;;;;;;;;;x
String_Haunter_of_the_dark;Haunter of the Dark;;;;;;;;;;;;;x
String_tsarism;Tsarism;;;;;;;;;;;;;x
String_fluoridation;fluoridation;;;;;;;;;;;;;x
String_sustainability;sustainability;;;;;;;;;;;;;x
String_marksmanship;marksmanship;;;;;;;;;;;;;x
String_cremation;cremation;;;;;;;;;;;;;x
String_charity;charity;;;;;;;;;;;;;x
String_stuart;Stuart;;;;;;;;;;;;;x
String_skrull;skrull;;;;;;;;;;;;;x
String_wendigo;wendigo;;;;;;;;;;;;;x
String_blue_helmet;blue helmet;;;;;;;;;;;;;x
String_blue_helmets;blue helmets;;;;;;;;;;;;;x
String_rainbow_warrior;rainbow warrior;;;;;;;;;;;;;x
String_Tzitzimitl;Tzitzimitl;;;;;;;;;;;;;x
String_owl;owl;;;;;;;;;;;;;x
String_hybrid;hybrid;;;;;;;;;;;;;x
String_skrulls;skrulls;;;;;;;;;;;;;x
String_wendigos;wendigos;;;;;;;;;;;;;x
String_loyalists;loyalists;;;;;;;;;;;;;x
String_feds;feds;;;;;;;;;;;;;x
String_rainbow_warriors;rainbow warriors;;;;;;;;;;;;;x
String_Tzitzimimeh;Tzitzimimeh;;;;;;;;;;;;;x
String_owls;owls;;;;;;;;;;;;;x
String_hybrids;hybrids;;;;;;;;;;;;;x
String_jacobite;Jacobite;;;;;;;;;;;;;x
String_tsarist;Tsarist;;;;;;;;;;;;;x
String_socialist;socialist;;;;;;;;;;;;;x
String_inspector;inspector;;;;;;;;;;;;;x
String_conquistador;conquistador;;;;;;;;;;;;;x
String_conquistadora;conquistadora;;;;;;;;;;;;;x
String_bohemian;bohemian;;;;;;;;;;;;;x
String_rogue;rogue;;;;;;;;;;;;;x
String_dark_cultist;dark cultist;;;;;;;;;;;;;x
String_jacobites;Jacobites;;;;;;;;;;;;;x
String_romanovs;Romanovs;;;;;;;;;;;;;x
String_socialists;socialists;;;;;;;;;;;;;x
String_inspectors;inspectors;;;;;;;;;;;;;x
String_conquistadors;conquistador;;;;;;;;;;;;;x
String_conquistadoras;conquistadora;;;;;;;;;;;;;x
String_bohemians;bohemians;;;;;;;;;;;;;x
String_rogues;rogues;;;;;;;;;;;;;x
String_dark_cultists;dark cultists;;;;;;;;;;;;;x
String_Glory_to_the_Adversary;Glory to the Adversary!;;;;;;;;;;;;;x
String_Glory_to_the_Angel_of_Death;Glory to the Angel of Death!;;;;;;;;;;;;;x
String_Glory_to_Babylon;Glory to Babylon!;;;;;;;;;;;;;x
String_Glory_to_the_Rightful_Monarch;Glory to the Rightful Monarch;;;;;;;;;;;;;x
String_Glory_to_Unk_Cekula;Glory to Unk Cekula!;;;;;;;;;;;;;x
String_Glory_to_Hela;Glory to Hela!;;;;;;;;;;;;;x
String_Glory_to_the_Supreme_Being;Glory to the Supreme Being!;;;;;;;;;;;;;x
String_Glory_to_The_New_World_Order;Glory to the New World Order!;;;;;;;;;;;;;x
String_Glory_to_Gore;Glory to Gore!;;;;;;;;;;;;;x
String_Glory_to_Xolotl;Glory to Xolotl!;;;;;;;;;;;;;x
String_Glory_to_Moloch;Glory to Moloch!;;;;;;;;;;;;;x
String_Glory_to_Davy_Jones;Glory to Davy Jones!;;;;;;;;;;;;;x
String_Glory_to_Flagg;Glory to Flagg!;;;;;;;;;;;;;x
String_SuperSkrull;Super-Skrull;;;;;;;;;;;;;x
String_the_Supreme_Being;The Supreme Being;;;;;;;;;;;;;x
String_Skinwalker;Skinwalker;;;;;;;;;;;;;x
String_Dzoavits;Dzoavits;;;;;;;;;;;;;x
String_Baykok;Baykok;;;;;;;;;;;;;x
String_Kee_wakw;Kee-wakw;;;;;;;;;;;;;x
String_King_James;King James;;;;;;;;;;;;;x
String_King_Charles;King Charles;;;;;;;;;;;;;x
String_Yekaterina;Yekaterina;;;;;;;;;;;;;x
String_Nikolay;Nikolay;;;;;;;;;;;;;x
String_Feemah;Feemah;;;;;;;;;;;;;x
String_Flouride;Flouride;;;;;;;;;;;;;x
String_Agenda_Twenty_One;Agenda Twenty-One;;;;;;;;;;;;;x
String_Colelectli;Colelectli;;;;;;;;;;;;;x
String_El_Chupacabra;El Chupacabra;;;;;;;;;;;;;x
String_Wayob;Wayob;;;;;;;;;;;;;x
String_Nagual;Nagual;;;;;;;;;;;;;x
String_Baphomet;Baphomet;;;;;;;;;;;;;x
String_The_Flying_Dutchman;The Flying Dutchman;;;;;;;;;;;;;x
String_Barbossa;Barbossa;;;;;;;;;;;;;x
String_The_Crawling_Chaos;The Crawling Chaos;;;;;;;;;;;;;x
String_Randall_Flag;Flagg;;;;;;;;;;;;;x
String_The_Beast;The Beast;;;;;;;;;;;;;x
String_Attenborough;Attenborough;;;;;;;;;;;;;x
String_The_Family;The Family;;;;;;;;;;;;;x
String_redcoat;redcoat;;;;;;;;;;;;;x
String_redcoats;redcoats;;;;;;;;;;;;;x
Glory_to_The_Tyrant;Glory to the Tyrant!;;;;;;;;;;;;;x
String_The_Tyrant;The Tyrant;;;;;;;;;;;;;x
String_stuarts;Stuarts;;;;;;;;;;;;;x
String_Communism;Communism;;;;;;;;;;;;;x
String_tsarists;Tsarists;;;;;;;;;;;;;x
String_Ikuchi;Ikuchi;;;;;;;;;;;;;x
String_Orochi;Orochi;;;;;;;;;;;;;x
String_oni;oni;;;;;;;;;;;;;x
String_Glory_to_Orochi;Glory to Orochi!;;;;;;;;;;;;;x
String_jacobitism;Jacobitism;;;;;;;;;;;;;x
String_The_King_in_Yellow;The King in Yellow;;;;;;;;;;;;;x
String_Deneb;Deneb;;;;;;;;;;;;;x
String_dark_one;dark one;;;;;;;;;;;;;x
String_dark_ones;dark ones;;;;;;;;;;;;;x
String_Glory_to_Deneb;Glory to Deneb!;;;;;;;;;;;;;x
String_Glory_to_The_Feaster;Glory to The Feaster!;;;;;;;;;;;;;x
String_Mechenyi;Mechenyi;;;;;;;;;;;;;x
String_The_Feaster;The Feaster;;;;;;;;;;;;;x
String_Black_Helicopter;Black Helicopter;;;;;;;;;;;;;x
String_Bolshevik;Bolshevik;;;;;;;;;;;;;x
String_Inspector;Inspector;;;;;;;;;;;;;x
String_Youkai;Youkai;;;;;;;;;;;;;x
String_Odinochki;Odinochki;;;;;;;;;;;;;x
String_MiGo;Mi-Go;;;;;;;;;;;;;x
String_Carcosan;Carcosan;;;;;;;;;;;;;x
String_Wendigo;Wendigo;;;;;;;;;;;;;x
String_The_Rainbow_Warrior;Rainbow Warrior;;;;;;;;;;;;;x
String_Aum;Aum;;;;;;;;;;;;;x
String_Jahs_blessing_upon_you;Jah's blessing upon you;;;;;;;;;x
String_Fords_blessings;Ford's blessings;;;;;;;;;x
String_the_Queens_blessings;The Queen's blessings;;;;;;;;;x
