###########Titular Titles###########
k_tenno;Tenno;;;;;;;;;;;;;x
k_tenno_adj;Tenno-ki;;;;;;;;;;;;;x
k_soka_gakkai;Soka Gakki;;;;;;;;;;;;;x
k_soka_gakkai_adj;Sokagakin;;;;;;;;;;;;;x
e_commonwealth;The Commonwealth of the Philipines;;;;;;;;;;;;;x
e_commonwealth_adj;Filipino;;;;;;;;;;;;;x
e_chakrphup_khmer;Chakrphup Khmer;;;;;;;;;;;;;x
e_chakrphup_khmer_adj;Khmer;;;;;;;;;;;;;x
e_china;China;;;;;;;;;;;x
e_china_adj;Chinese;;Chinese;;;;;;;;;;;x
e_lan_xang;Lan Xang;;;;;;;;;;;;;x
e_lan_xang_adj;Laotian;;;;;;;;;;;;;x
d_cebu;Cebu;;;;;;;;;;;;;x
d_cebu_adj;Cebuano;;;;;;;;;;;;;x
d_pattaya;Pattaya;;;;;;;;;;;;;x
d_pattaya_adj;Pattayan;;;;;;;;;;;;;x
d_songkhla;Songkhla;;;;;;;;;;;;;x
d_songkhla_adj;Songkhlan;;;;;;;;;;;;;x
k_hariphunchai;Hariphunchai;;;;;;;;;;;;;x
k_hariphunchai_adj;Hariphunchai;;;;;;;;;;;;;x
d_phitsanulok;Phitsanulok;;;;;;;;;;;;;x
d_phitsanulok_adj;Phitsanulok;;;;;;;;;;;;;x

e_tian;Tian;;;;;;;;;;;;;x
e_tian_adj;Tian;;;;;;;;;;;;;x

###########Patrician Titles###########
b_to_van;To Van;;;;;;;;;;;;;x
b_to_van_desc;To Van;;;;;;;;;;;;;x
b_quat;Quat;;;;;;;;;;;;;x
b_quat_desc;Quat;;;;;;;;;;;;;x
b_mai_kieu;Mai Kieu;;;;;;;;;;;;;x
b_mai_kieu_desc;Mai Kieu;;;;;;;;;;;;;x
b_dang_le;Ðang Lê;;;;;;;;;;;;;x
b_dang_le_desc;Ðang Lê;;;;;;;;;;;;;x
b_phan;Phan;;;;;;;;;;;;;x
b_phan_desc;Phan;;;;;;;;;;;;;x
b_ongpin;Ongpin;;;;;;;;;;;;;x
b_ongpin_desc;Ongpin;;;;;;;;;;;;;x
b_tantoco;Tantoco;;;;;;;;;;;;;x
b_tantoco_desc;Tantoco;;;;;;;;;;;;;x
b_ramos;Ramos;;;;;;;;;;;;;x
b_ramos_desc;Ramos;;;;;;;;;;;;;x
b_lopez;Lopez;;;;;;;;;;;;;x
b_lopez_desc;Lopez;;;;;;;;;;;;;x
b_araneta;Araneta;;;;;;;;;;;;;x
b_araneta_desc;Araneta;;;;;;;;;;;;;x
b_torpedovich;Torpedovich;;;;;;;;;;;;;x
b_torpedovich_desc;Torpedovich;;;;;;;;;;;;;x
b_phikulavong;Phikulavong;;;;;;;;;;;;;x
b_phikulavong_desc;Phikulavong;;;;;;;;;;;;;x
b_kenway;Kenway;;;;;;;;;;;;;x
b_kenway_desc;Kenway;;;;;;;;;;;;;x
b_albo;Albo;;;;;;;;;;;;;x
b_albo_desc;Albonite;;;;;;;;;;;;;x
b_wangrong;Wang-Rong;;;;;;;;;;;;;x
b_albo_desc;Wangronger;;;;;;;;;;;;;x
